sku,name,category_name,brand,sale_price,store_name
5291296-EA-000,Strawberries,Frozen,Pams,14.58,pak'nsave
5288273-EA-000,Frozen Lychee,Frozen,Nishin,8.49,pak'nsave
5029289-EA-000,Chocolate Cake,Frozen,Original Foods Baking Co,,pak'nsave
5267359-EA-000,Dairy Milk Freddo Frozen Party Cake,Frozen,Cadbury,1.27,pak'nsave
5339411-EA-000,Bueno White Frozen Dessert,Frozen,Kinder,4.43,pak'nsave
5332691-EA-000,Gluten Free Chocolate Brownie,Frozen,Pavillion,,pak'nsave
5332690-EA-000,Gluten Free Blueberry Muffin,Frozen,Pavillion,1.62,pak'nsave
5332688-EA-000,Gluten Free Carrot Cake,Frozen,Pavillion,,pak'nsave
5307594-EA-000,Pain Au Chocolat,Frozen,Yarrows,1.5,pak'nsave
5030393-EA-000,Burger Rings,"Snacks, Treats & Easy Meals",Bluebird,1.33,pak'nsave
5030392-EA-000,Twisties Cheese Corn Snacks,"Snacks, Treats & Easy Meals",Bluebird,1.33,pak'nsave
5030395-EA-000,Cheezels,"Snacks, Treats & Easy Meals",Bluebird,1.33,pak'nsave
5301295-EA-000,Fun Mix Multipack,"Snacks, Treats & Easy Meals",Bluebird,2.14,pak'nsave
5010665-EA-000,Wood Fired BBQ Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5299229-EA-000,Originals Mix Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,2.14,pak'nsave
5010717-EA-000,Originals Ready Salted Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.53,pak'nsave
5010716-EA-000,Originals Chicken Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.53,pak'nsave
5010720-EA-000,Originals Sour Cream & Chives Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.53,pak'nsave
5010719-EA-000,Originals Salt & Vinegar Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.53,pak'nsave
5034758-EA-000,Thinly Cut Ready Salted Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.64,pak'nsave
5034757-EA-000,Thinly Cut Chicken Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.64,pak'nsave
5010663-EA-000,Sea Salt Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5034759-EA-000,Thinly Cut Salt & Vinegar Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.64,pak'nsave
5011412-EA-000,Southern Salt Old Fashioned Wave Cut Potato Chips,"Snacks, Treats & Easy Meals",Heartland,1.79,pak'nsave
5005783-EA-000,Ready Salted Potato Chips,"Snacks, Treats & Easy Meals",Pams,1.13,pak'nsave
5248743-EA-000,Minis Sour Cream & Onion Potato Chips,"Snacks, Treats & Easy Meals",Pringles,4.2,pak'nsave
5092356-EA-000,Original Potato Chips,"Snacks, Treats & Easy Meals",Pringles,2.83,pak'nsave
5269375-EA-000,Vinegar & Salt Kettle Fried Potato Chips,"Snacks, Treats & Easy Meals",Snacka Changi Chips,2.86,pak'nsave
5011410-EA-000,Salt & Vinegar Old Fashioned Wave Cut Potato Chips,"Snacks, Treats & Easy Meals",Heartland,1.79,pak'nsave
5234250-EA-000,Maple Bacon Old-Fashioned Wave Cut Chips,"Snacks, Treats & Easy Meals",Heartland,1.79,pak'nsave
5010664-EA-000,Sea Salt & Vinegar Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5269376-EA-000,Salted Kettle Fried Potato Chips,"Snacks, Treats & Easy Meals",Snacka Changi Chips,2.86,pak'nsave
5248742-EA-000,Minis Original Potato Chips,"Snacks, Treats & Easy Meals",Pringles,4.2,pak'nsave
5011408-EA-000,Chicken Old Fashioned Wave Cut Potato Chips,"Snacks, Treats & Easy Meals",Heartland,1.79,pak'nsave
5269093-EA-000,Crunchy Cheese Corn Snacks Party Bag,"Snacks, Treats & Easy Meals",Cheetos,1.8,pak'nsave
5016621-EA-000,Poppa Jacks Original Flavoured Wheat Snacks,"Snacks, Treats & Easy Meals",Bluebird,3.79,pak'nsave
5092380-EA-000,BBQ Potato Chips,"Snacks, Treats & Easy Meals",Pringles,2.83,pak'nsave
5023039-EA-000,Munchos Spicy Tomato Cereal Snacks,"Snacks, Treats & Easy Meals",Griffin's,2.49,pak'nsave
5283867-EA-000,Kettle Fried Sour Cream Chive Onion Potato Chips,"Snacks, Treats & Easy Meals",Snacka Changi Chips,2.86,pak'nsave
5008942-EA-000,Marlborough Sea Salt Potato Crisps,"Snacks, Treats & Easy Meals",Proper Crisps,2.53,pak'nsave
5034760-EA-000,Thinly Cut Sour Cream & Chives Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.64,pak'nsave
5110298-EA-000,Bongo Cheese Flavoured Snacks,"Snacks, Treats & Easy Meals",Jasons,1.5,pak'nsave
5200602-EA-000,Ready Salted Potato Chips Snack Packs,"Snacks, Treats & Easy Meals",Pams,1.99,pak'nsave
5092358-EA-000,Sour Cream & Onion Potato Chips,"Snacks, Treats & Easy Meals",Pringles,5.64,pak'nsave
5023038-EA-000,Munchos Cheese & Onion Cereal Snacks,"Snacks, Treats & Easy Meals",Griffin's,2.49,pak'nsave
5092357-EA-000,Original Potato Chips,"Snacks, Treats & Easy Meals",Pringles,5.64,pak'nsave
5269797-EA-000,Flamin' Hot Corn Snacks Crunchy Party Bag,"Snacks, Treats & Easy Meals",Cheetos,1.8,pak'nsave
5230685-EA-000,Sea Salt & Vinegar Potato Chips,"Snacks, Treats & Easy Meals",Kettle Chip Company,2.46,pak'nsave
5092477-EA-000,Salt & Vinegar Potato Chips,"Snacks, Treats & Easy Meals",Pringles,2.83,pak'nsave
5023081-EA-000,Cider Vinegar & Sea Salt Potato Crisps,"Snacks, Treats & Easy Meals",Proper Crisps,2.71,pak'nsave
5200598-EA-000,Chicken Flavoured Potato Chips Multipack,"Snacks, Treats & Easy Meals",Pams,1.99,pak'nsave
5015078-EA-000,Vintage Cheddar & Red Onion Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5008943-EA-000,Rosemary & Thyme Potato Crisps,"Snacks, Treats & Easy Meals",Proper Crisps,2.53,pak'nsave
5337889-EA-000,Kiwi Favs Lamb & Mint Chops Potato Chips,"Snacks, Treats & Easy Meals",Heartland,2.49,pak'nsave
5337888-EA-000,Restaurant Series Smokey Beef Ribs Potato Chips,"Snacks, Treats & Easy Meals",Delisio,2.21,pak'nsave
5337882-EA-000,Restaurant Series Spiced Chargrilled Chicken With Citrus Potato Chips,"Snacks, Treats & Easy Meals",Delisio,2.21,pak'nsave
5336635-EA-000,Greek Style Tzatziki Potato Chips,"Snacks, Treats & Easy Meals",Delisio,2.38,pak'nsave
5334815-EA-000,Pickled Onion Potato Chips,"Snacks, Treats & Easy Meals",Eta Ripple Cut,1.26,pak'nsave
5334286-EA-000,Deep Ridge Chilli Garlic & Paprika Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5334285-EA-000,Deep Ridge Roast Chicken Sage & Burnt Butter Potato Chips,"Snacks, Treats & Easy Meals",Copper Kettle,2.99,pak'nsave
5334136-EA-000,Originals Tasty Cheese Potato Chips,"Snacks, Treats & Easy Meals",Bluebird,1.64,pak'nsave
